City ID,City,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
133,Tura,25.5198,90.2201,296.67,90,{'all': 4},1.08,IN,1633529630
134,Lázaro Cárdenas,17.9583,-102.2,299.2,83,{'all': 93},1.77,MX,1633529630
135,George Town,5.4112,100.3354,299.2,92,{'all': 20},0.0,MY,1633529631
136,Codrington,-38.2667,141.9667,282.11,84,{'all': 94},7.35,AU,1633529631
137,Mahébourg,-20.4081,57.7,296.62,88,{'all': 75},3.6,MU,1633529631
138,Chokurdakh,70.6333,147.9167,268.23,92,{'all': 96},4.92,RU,1633529632
139,Santa Catarina de Tepehuanes,25.35,-105.7333,288.94,80,{'all': 21},0.55,MX,1633529632
140,São Filipe,14.8961,-24.4956,300.44,67,{'all': 25},5.79,CV,1633529561
141,Whitecourt,54.1502,-115.6855,274.12,77,{'all': 100},2.48,CA,1633529632
142,Puławy,51.4166,21.9694,290.04,51,{'all': 100},6.23,PL,1633529633
143,Leningradskiy,69.3833,178.4167,270.93,97,{'all': 100},4.18,RU,1633529633
144,Buta,2.7858,24.73,304.03,52,{'all': 78},0.71,CD,1633529633
145,Tatarsk,55.219,75.9828,274.47,68,{'all': 100},3.18,RU,1633529634
146,San Quintín,30.4833,-115.95,291.69,88,{'all': 0},3.63,MX,1633529634
147,Severo-Kuril'sk,50.6789,156.125,279.07,72,{'all': 28},5.51,RU,1633529478
148,Kaitangata,-46.2817,169.8464,282.51,97,{'all': 97},1.6,NZ,1633529635
149,Havelock,34.8791,-76.9013,299.14,87,{'all': 100},2.68,US,1633529635
150,Olafsvik,64.8945,-23.7142,278.74,68,{'all': 17},4.9,IS,1633529635
151,Camapuã,-19.5314,-54.0439,306.71,38,{'all': 38},2.77,BR,1633529636
152,Paamiut,61.994,-49.6678,276.54,74,{'all': 100},4.08,GL,1633529636
153,Beringovskiy,63.05,179.3167,273.36,85,{'all': 100},6.83,RU,1633529636
154,Isangel,-19.55,169.2667,296.85,88,{'all': 2},3.1,VU,1633529637
155,Itacoatiara,-3.1431,-58.4442,305.7,40,{'all': 100},2.16,BR,1633529637
156,Namatanai,-3.6667,152.4333,299.24,80,{'all': 100},1.84,PG,1633529637
157,Portland,45.5234,-122.6762,283.98,93,{'all': 86},1.34,US,1633529474
158,Pundaguitan,6.3711,126.1689,301.73,71,{'all': 100},2.37,PH,1633529638
159,Hermanus,-34.4187,19.2345,296.93,53,{'all': 0},8.16,ZA,1633529638
160,Whitehorse,60.7161,-135.0538,267.21,85,{'all': 12},1.79,CA,1633529585
161,Paciran,-6.8767,112.3761,300.05,71,{'all': 75},3.57,ID,1633529639
162,Lodja,-3.4833,23.4333,300.02,67,{'all': 86},1.13,CD,1633529450
163,Sakaiminato,35.55,133.2333,294.4,81,{'all': 15},6.11,JP,1633529639
164,San Ramon,37.7799,-121.978,288.39,88,{'all': 1},1.79,US,1633529591
165,Geraldton,-28.7667,114.6,288.38,72,{'all': 0},5.14,AU,1633529640
166,Kuytun,54.3419,101.5036,273.52,80,{'all': 20},1.73,RU,1633529640
167,Bethel,41.3712,-73.414,290.73,84,{'all': 90},0.0,US,1633529354
168,Swan Hill,-35.3378,143.5544,287.95,40,{'all': 100},0.72,AU,1633529641
169,Touros,-5.1989,-35.4608,304.65,57,{'all': 100},7.68,BR,1633529641
170,Iqaluit,63.7506,-68.5145,274.65,93,{'all': 100},3.58,CA,1633529469
171,Flinders,-34.5833,150.8552,286.51,77,{'all': 4},0.45,AU,1633529642
172,Dekar,-21.5333,21.9333,303.93,27,{'all': 93},7.77,BW,1633529642
173,Vallenar,-28.5708,-70.7581,294.74,35,{'all': 100},2.14,CL,1633529642
174,Seredka,58.1584,28.1858,289.01,56,{'all': 96},7.04,RU,1633529643
175,Labuhan,-6.8844,112.2051,299.78,68,{'all': 94},4.93,ID,1633529643
176,Kushiro,42.975,144.3747,281.29,77,{'all': 93},1.46,JP,1633529500
177,Sindi,20.8,78.8667,302.64,82,{'all': 59},2.5,IN,1633529643
178,Nouadhibou,20.931,-17.0347,295.75,78,{'all': 41},8.51,MR,1633529644
179,Katsuura,35.1333,140.3,294.92,78,{'all': 99},6.28,JP,1633529355
180,Muros,42.7762,-9.0603,297.97,54,{'all': 6},2.09,ES,1633529644
181,Mount Isa,-20.7333,139.5,295.02,26,{'all': 5},1.03,AU,1633529513
182,Polyarny,69.1989,33.4478,285.41,78,{'all': 98},7.89,RU,1633529645
183,Barrow,71.2906,-156.7887,272.16,86,{'all': 90},5.66,US,1633529645
184,Khatanga,71.9667,102.5,270.82,97,{'all': 100},4.39,RU,1633529645
185,Lorengau,-2.0226,147.2712,297.58,89,{'all': 100},2.46,PG,1633529646
186,Formosa,-26.1775,-58.1781,297.14,73,{'all': 0},3.09,AR,1633529465
187,Naze,28.3667,129.4833,298.18,71,{'all': 99},6.71,JP,1633529646
188,Saldanha,-33.0117,17.9442,293.22,55,{'all': 12},5.77,ZA,1633529647
189,Moerai,-22.4333,-151.3333,296.64,74,{'all': 22},3.39,PF,1633529647
190,Suzhou,31.3114,120.6181,300.08,81,{'all': 7},3.4,CN,1633529647
191,Bengkulu,-3.8004,102.2655,297.6,90,{'all': 31},1.98,ID,1633529648
192,Tiksi,71.6872,128.8694,268.91,89,{'all': 100},0.82,RU,1633529648
193,Cape Town,-33.9258,18.4232,302.1,46,{'all': 0},1.79,ZA,1633529224
194,Young,-32.6833,-57.6333,294.39,66,{'all': 0},5.7,UY,1633529648
195,Balkanabat,39.5108,54.3671,290.73,23,{'all': 99},6.23,TM,1633529649
196,Hithadhoo,-0.6,73.0833,301.93,74,{'all': 93},6.17,MV,1633529522
197,Concepción,-36.827,-73.0498,287.04,38,{'all': 0},4.12,CL,1633529520
198,Goundam,16.4145,-3.6708,310.85,21,{'all': 62},1.08,ML,1633529649
199,Pimenta Bueno,-11.6725,-61.1936,303.64,60,{'all': 99},1.43,BR,1633529650
200,Muyezerskiy,63.9333,31.65,282.31,76,{'all': 84},6.14,RU,1633529650
201,Brae,60.3964,-1.353,284.1,71,{'all': 17},4.54,GB,1633529650
